,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
15,Learn To Draw Kawaii Characters,ART_AND_DESIGN,3.2,55.0,2700000.0,5000.0,Free,0.0,Everyone,Art & Design,2018-06-06,,4.2 and up
23,Mcqueen Coloring pages,ART_AND_DESIGN,,61.0,7000000.0,100000.0,Free,0.0,Everyone,Art & Design;Action & Adventure,2018-03-07,1.0.0,4.1 and up
37,Floor Plan Creator,ART_AND_DESIGN,4.1,36639.0,,5000000.0,Free,0.0,Everyone,Art & Design,2018-07-14,Varies with device,2.3.3 and up
42,Textgram - write on photos,ART_AND_DESIGN,4.4,295221.0,,10000000.0,Free,0.0,Everyone,Art & Design,2018-07-30,Varies with device,Varies with device
52,Used Cars and Trucks for Sale,AUTO_AND_VEHICLES,4.6,17057.0,,1000000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-30,Varies with device,Varies with device
67,Ulysse Speedometer,AUTO_AND_VEHICLES,4.3,40211.0,,5000000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-30,Varies with device,Varies with device
68,REPUVE,AUTO_AND_VEHICLES,3.9,356.0,,100000.0,Free,0.0,Everyone,Auto & Vehicles,2018-05-25,Varies with device,Varies with device
73,PDD-UA,AUTO_AND_VEHICLES,4.8,736.0,,100000.0,Free,0.0,Everyone,Auto & Vehicles,2018-07-29,2.9,2.3.3 and up
85,CarMax – Cars for Sale: Search Used Car Inventory,AUTO_AND_VEHICLES,4.4,21777.0,,1000000.0,Free,0.0,Everyone,Auto & Vehicles,2018-08-04,Varies with device,Varies with device
88,AutoScout24 Switzerland – Find your new car,AUTO_AND_VEHICLES,4.6,13372.0,,1000000.0,Free,0.0,Everyone,Auto & Vehicles,2018-08-03,Varies with device,Varies with device
89,Zona Azul Digital Fácil SP CET - OFFICIAL São Paulo,AUTO_AND_VEHICLES,4.6,7880.0,,100000.0,Free,0.0,Everyone,Auto & Vehicles,2018-05-10,4.6.5,Varies with device
92,Fuelio: Gas log & costs,AUTO_AND_VEHICLES,4.6,65786.0,,1000000.0,Free,0.0,Everyone,Auto & Vehicles,2018-08-02,Varies with device,4.0.3 and up
102,Mirror - Zoom & Exposure -,BEAUTY,3.9,32090.0,,1000000.0,Free,0.0,Everyone,Beauty,2016-10-24,Varies with device,Varies with device
107,Ulta Beauty,BEAUTY,4.7,42050.0,,1000000.0,Free,0.0,Everyone,Beauty,2018-06-05,5.4,5.0 and up
109,Selfie Camera,BEAUTY,4.2,17934.0,,1000000.0,Free,0.0,Everyone,Beauty,2017-09-12,Varies with device,Varies with device
113,Wrinkles and rejuvenation,BEAUTY,,182.0,5700000.0,100000.0,Free,0.0,Everyone 10+,Beauty,2017-09-20,8.0,3.0 and up
117,Beauty Camera - Selfie Camera,BEAUTY,4.0,113715.0,,10000000.0,Free,0.0,Everyone,Beauty,2017-08-03,Varies with device,Varies with device
118,Girls Hairstyles,BEAUTY,4.1,3595.0,,500000.0,Free,0.0,Everyone,Beauty,2018-05-24,Varies with device,4.0 and up
123,Manicure - nail design,BEAUTY,,119.0,3700000.0,50000.0,Free,0.0,Everyone,Beauty,2018-07-23,1.3,4.1 and up
126,Skin Care and Natural Beauty,BEAUTY,,654.0,7400000.0,100000.0,Free,0.0,Teen,Beauty,2018-07-17,1.15,4.1 and up
129,"Secrets of beauty, youth and health",BEAUTY,,77.0,2900000.0,10000.0,Free,0.0,Mature 17+,Beauty,2017-08-08,2.0,2.3 and up
130,Recipes and tips for losing weight,BEAUTY,,35.0,3100000.0,10000.0,Free,0.0,Everyone 10+,Beauty,2017-12-11,2.0,3.0 and up
134,"Lady adviser (beauty, health)",BEAUTY,,30.0,9900000.0,10000.0,Free,0.0,Mature 17+,Beauty,2018-01-24,3.0,3.0 and up
139,Wattpad 📖 Free Books,BOOKS_AND_REFERENCE,4.6,2914724.0,,100000000.0,Free,0.0,Teen,Books & Reference,2018-08-01,Varies with device,Varies with device
142,Wikipedia,BOOKS_AND_REFERENCE,4.4,577550.0,,10000000.0,Free,0.0,Everyone,Books & Reference,2018-08-02,Varies with device,Varies with device
143,Amazon Kindle,BOOKS_AND_REFERENCE,4.2,814080.0,,100000000.0,Free,0.0,Teen,Books & Reference,2018-07-27,Varies with device,Varies with device
144,Cool Reader,BOOKS_AND_REFERENCE,4.5,246315.0,,10000000.0,Free,0.0,Everyone,Books & Reference,2015-07-17,Varies with device,1.5 and up
145,Dictionary - Merriam-Webster,BOOKS_AND_REFERENCE,4.5,454060.0,,10000000.0,Free,0.0,Everyone,Books & Reference,2018-05-18,Varies with device,Varies with device
146,NOOK: Read eBooks & Magazines,BOOKS_AND_REFERENCE,4.5,155446.0,,10000000.0,Free,0.0,Teen,Books & Reference,2018-04-25,Varies with device,Varies with device
149,FBReader: Favorite Book Reader,BOOKS_AND_REFERENCE,4.5,203130.0,,10000000.0,Free,0.0,Everyone,Books & Reference,2018-06-28,Varies with device,Varies with device
152,Google Play Books,BOOKS_AND_REFERENCE,3.9,1433233.0,,1000000000.0,Free,0.0,Teen,Books & Reference,2018-08-03,Varies with device,Varies with device
157,Spanish English Translator,BOOKS_AND_REFERENCE,4.2,87873.0,,10000000.0,Free,0.0,Teen,Books & Reference,2018-05-28,Varies with device,Varies with device
162,NOOK App for NOOK Devices,BOOKS_AND_REFERENCE,4.7,19080.0,,500000.0,Free,0.0,Everyone,Books & Reference,2018-04-25,Varies with device,Varies with device
163,Anonymous caller detection,BOOKS_AND_REFERENCE,,161.0,2700000.0,10000.0,Free,0.0,Everyone,Books & Reference,2018-07-13,1.0,2.3 and up
172,Ancestry,BOOKS_AND_REFERENCE,4.3,64513.0,,5000000.0,Free,0.0,Everyone,Books & Reference,2018-07-31,Varies with device,Varies with device
173,HTC Help,BOOKS_AND_REFERENCE,4.2,8342.0,,10000000.0,Free,0.0,Everyone,Books & Reference,2017-08-28,9.00.950462,7.0 and up
179,Moon+ Reader,BOOKS_AND_REFERENCE,4.4,233757.0,,10000000.0,Free,0.0,Everyone,Books & Reference,2018-05-01,Varies with device,Varies with device
180,SH-02J Owner's Manual (Android 8.0),BOOKS_AND_REFERENCE,,2.0,7200000.0,50000.0,Free,0.0,Everyone,Books & Reference,2018-06-15,3.0,6.0 and up
185,URBANO V 02 instruction manual,BOOKS_AND_REFERENCE,,114.0,7300000.0,100000.0,Free,0.0,Everyone,Books & Reference,2015-08-07,1.1,5.1 and up
187,Visual Voicemail by MetroPCS,BUSINESS,4.1,16129.0,,10000000.0,Free,0.0,Everyone,Business,2018-07-30,Varies with device,Varies with device
188,Indeed Job Search,BUSINESS,4.3,674730.0,,50000000.0,Free,0.0,Everyone,Business,2018-05-21,Varies with device,Varies with device
189,Uber Driver,BUSINESS,4.4,1254730.0,,10000000.0,Free,0.0,Everyone,Business,2018-08-03,Varies with device,Varies with device
191,Snag - Jobs Hiring Now,BUSINESS,4.3,32584.0,,1000000.0,Free,0.0,Everyone,Business,2018-05-04,Varies with device,Varies with device
192,Docs To Go™ Free Office Suite,BUSINESS,4.1,217730.0,,50000000.0,Free,0.0,Everyone,Business,2018-04-02,Varies with device,Varies with device
193,Google My Business,BUSINESS,4.4,70991.0,,5000000.0,Free,0.0,Everyone,Business,2018-07-24,2.19.0.204537701,4.4 and up
201,Facebook Pages Manager,BUSINESS,4.0,1279184.0,,50000000.0,Free,0.0,Everyone,Business,2018-08-02,Varies with device,Varies with device
202,OfficeSuite Pro + PDF (Trial),BUSINESS,4.2,88073.0,,10000000.0,Free,0.0,Everyone,Business,2018-07-09,Varies with device,Varies with device
203,My Space - Employment Center,BUSINESS,4.5,67000.0,,1000000.0,Free,0.0,Everyone,Business,2018-07-17,Varies with device,4.3 and up
204,Box,BUSINESS,4.2,159872.0,,10000000.0,Free,0.0,Everyone,Business,2018-07-31,Varies with device,Varies with device
207,Jobs in Alabama - Jobs in Alba,BUSINESS,4.1,11622.0,,5000000.0,Free,0.0,Everyone,Business,2018-07-26,Varies with device,Varies with device
208,Square Point of Sale - POS,BUSINESS,4.6,95912.0,,5000000.0,Free,0.0,Everyone,Business,2018-07-30,Varies with device,Varies with device
211,SEEK Job Search,BUSINESS,4.3,14955.0,,1000000.0,Free,0.0,Everyone,Business,2018-07-30,Varies with device,Varies with device
214,Easy Installer - Apps On SD,BUSINESS,4.1,23055.0,,5000000.0,Free,0.0,Everyone,Business,2018-06-08,Varies with device,Varies with device
215,Facebook Ads Manager,BUSINESS,4.1,19023.0,,1000000.0,Free,0.0,Everyone,Business,2018-08-01,99.0.0.35.75,4.1 and up
222,Quick PDF Scanner + OCR FREE,BUSINESS,4.2,80805.0,,5000000.0,Free,0.0,Everyone,Business,2018-02-26,Varies with device,4.0.3 and up
226,UPS Mobile,BUSINESS,3.9,23243.0,,5000000.0,Free,0.0,Everyone,Business,2018-06-25,Varies with device,Varies with device
227,Y! Mobile menu,BUSINESS,,9.0,1200000.0,100000.0,Free,0.0,Everyone,Business,2018-04-09,1.0.5,6.0 and up
228,SignEasy | Sign and Fill PDF and other Documents,BUSINESS,4.3,8978.0,,1000000.0,Free,0.0,Everyone,Business,2018-07-25,Varies with device,Varies with device
229,Quick PDF Scanner + OCR FREE,BUSINESS,4.2,80805.0,,5000000.0,Free,0.0,Everyone,Business,2018-02-26,Varies with device,4.0.3 and up
230,Genius Scan - PDF Scanner,BUSINESS,4.4,42492.0,,1000000.0,Free,0.0,Everyone,Business,2018-07-11,Varies with device,Varies with device
236,Box,BUSINESS,4.2,159872.0,,10000000.0,Free,0.0,Everyone,Business,2018-07-31,Varies with device,Varies with device
239,Google My Business,BUSINESS,4.4,70991.0,,5000000.0,Free,0.0,Everyone,Business,2018-07-24,2.19.0.204537701,4.4 and up
240,Slack,BUSINESS,4.4,51507.0,,5000000.0,Free,0.0,Everyone,Business,2018-08-02,Varies with device,Varies with device
245,Xero Accounting Software,BUSINESS,3.5,2111.0,,100000.0,Free,0.0,Everyone,Business,2018-07-30,Varies with device,Varies with device
253,join.me - Simple Meetings,BUSINESS,4.0,6989.0,,1000000.0,Free,0.0,Everyone,Business,2018-07-16,4.3.0.508,4.4 and up
259,Microsoft Remote Desktop,BUSINESS,4.2,97702.0,,5000000.0,Free,0.0,Everyone,Business,2018-07-11,Varies with device,Varies with device
261,join.me - Simple Meetings,BUSINESS,4.0,6989.0,,1000000.0,Free,0.0,Everyone,Business,2018-07-16,4.3.0.508,4.4 and up
264,Skype for Business for Android,BUSINESS,3.9,78172.0,,10000000.0,Free,0.0,Everyone,Business,2018-08-02,Varies with device,Varies with device
265,Box,BUSINESS,4.2,159872.0,,10000000.0,Free,0.0,Everyone,Business,2018-07-31,Varies with device,Varies with device
268,Google My Business,BUSINESS,4.4,70991.0,,5000000.0,Free,0.0,Everyone,Business,2018-07-24,2.19.0.204537701,4.4 and up
269,Slack,BUSINESS,4.4,51507.0,,5000000.0,Free,0.0,Everyone,Business,2018-08-02,Varies with device,Varies with device
274,Xero Accounting Software,BUSINESS,3.5,2111.0,,100000.0,Free,0.0,Everyone,Business,2018-07-30,Varies with device,Varies with device
282,join.me - Simple Meetings,BUSINESS,4.0,6989.0,,1000000.0,Free,0.0,Everyone,Business,2018-07-16,4.3.0.508,4.4 and up
284,SignEasy | Sign and Fill PDF and other Documents,BUSINESS,4.3,8978.0,,1000000.0,Free,0.0,Everyone,Business,2018-07-25,Varies with device,Varies with device
285,Quick PDF Scanner + OCR FREE,BUSINESS,4.2,80804.0,,5000000.0,Free,0.0,Everyone,Business,2018-02-26,Varies with device,4.0.3 and up
286,Genius Scan - PDF Scanner,BUSINESS,4.4,42492.0,,1000000.0,Free,0.0,Everyone,Business,2018-07-11,Varies with device,Varies with device
292,Docs To Go™ Free Office Suite,BUSINESS,4.1,217730.0,,50000000.0,Free,0.0,Everyone,Business,2018-04-02,Varies with device,Varies with device
294,Slack,BUSINESS,4.4,51510.0,,5000000.0,Free,0.0,Everyone,Business,2018-08-02,Varies with device,Varies with device
297,LINE WEBTOON - Free Comics,COMICS,4.5,1013635.0,,10000000.0,Free,0.0,Teen,Comics,2018-07-31,Varies with device,Varies with device
315,DC Comics,COMICS,4.2,25671.0,,1000000.0,Free,0.0,Teen,Comics,2018-06-05,Varies with device,Varies with device
320,Narrator's Voice,COMICS,4.5,564387.0,,5000000.0,Free,0.0,Everyone,Comics,2018-07-05,Varies with device,Varies with device
321,【Ranobbe complete free】 Novelba - Free app that you can read and write novels,COMICS,,1330.0,22000000.0,50000.0,Free,0.0,Everyone,Comics,2018-07-03,6.1.1,4.2 and up
327,pixiv comic - everyone's manga app,COMICS,4.4,18814.0,,1000000.0,Free,0.0,Mature 17+,Comics,2018-07-30,Varies with device,Varies with device
