,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
15,Learn To Draw Kawaii Characters,ART_AND_DESIGN,3.2,55.0,2700000.0,5000.0,Free,0.0,Everyone,Art & Design,2018-06-06,,4.2 and up
23,Mcqueen Coloring pages,ART_AND_DESIGN,,61.0,7000000.0,100000.0,Free,0.0,Everyone,Art & Design;Action & Adventure,2018-03-07,1.0.0,4.1 and up
113,Wrinkles and rejuvenation,BEAUTY,,182.0,5700000.0,100000.0,Free,0.0,Everyone 10+,Beauty,2017-09-20,8.0,3.0 and up
123,Manicure - nail design,BEAUTY,,119.0,3700000.0,50000.0,Free,0.0,Everyone,Beauty,2018-07-23,1.3,4.1 and up
126,Skin Care and Natural Beauty,BEAUTY,,654.0,7400000.0,100000.0,Free,0.0,Teen,Beauty,2018-07-17,1.15,4.1 and up
129,"Secrets of beauty, youth and health",BEAUTY,,77.0,2900000.0,10000.0,Free,0.0,Mature 17+,Beauty,2017-08-08,2.0,2.3 and up
130,Recipes and tips for losing weight,BEAUTY,,35.0,3100000.0,10000.0,Free,0.0,Everyone 10+,Beauty,2017-12-11,2.0,3.0 and up
134,"Lady adviser (beauty, health)",BEAUTY,,30.0,9900000.0,10000.0,Free,0.0,Mature 17+,Beauty,2018-01-24,3.0,3.0 and up
163,Anonymous caller detection,BOOKS_AND_REFERENCE,,161.0,2700000.0,10000.0,Free,0.0,Everyone,Books & Reference,2018-07-13,1.0,2.3 and up
180,SH-02J Owner's Manual (Android 8.0),BOOKS_AND_REFERENCE,,2.0,7200000.0,50000.0,Free,0.0,Everyone,Books & Reference,2018-06-15,3.0,6.0 and up
185,URBANO V 02 instruction manual,BOOKS_AND_REFERENCE,,114.0,7300000.0,100000.0,Free,0.0,Everyone,Books & Reference,2015-08-07,1.1,5.1 and up
227,Y! Mobile menu,BUSINESS,,9.0,1200000.0,100000.0,Free,0.0,Everyone,Business,2018-04-09,1.0.5,6.0 and up
321,【Ranobbe complete free】 Novelba - Free app that you can read and write novels,COMICS,,1330.0,22000000.0,50000.0,Free,0.0,Everyone,Comics,2018-07-03,6.1.1,4.2 and up
478,Truth or Dare Pro,DATING,,0.0,20000000.0,50.0,Paid,1.49,Teen,Dating,2017-09-01,1.0,4.0 and up
479,"Private Dating, Hide App- Blue for PrivacyHider",DATING,,0.0,18000.0,100.0,Paid,2.99,Everyone,Dating,2017-07-25,1.0.1,4.0 and up
480,Ad Blocker for SayHi,DATING,,4.0,1200000.0,100.0,Paid,3.99,Teen,Dating,2018-08-02,1.2,4.0.3 and up
610,Random Video Chat,DATING,,3.0,16000000.0,1000.0,Free,0.0,Mature 17+,Dating,2018-07-15,4.20,4.0.3 and up
613,Random Video Chat App With Strangers,DATING,,3.0,4800000.0,1000.0,Free,0.0,Mature 17+,Dating,2018-07-17,1.,4.0 and up
617,Meet With Strangers: Video Chat & Dating,DATING,,2.0,3700000.0,500.0,Free,0.0,Mature 17+,Dating,2018-07-16,1.,4.0 and up
620,Ost. Zombies Cast - New Music and Lyrics,DATING,,1.0,4600000.0,100.0,Free,0.0,Teen,Dating,2018-07-20,1.0,4.0.3 and up
621,Dating White Girls,DATING,,0.0,3600000.0,50.0,Free,0.0,Mature 17+,Dating,2018-07-20,1.0,4.0 and up
623,Geeks Dating,DATING,,0.0,13000000.0,50.0,Free,0.0,Mature 17+,Dating,2018-07-10,1.0,4.1 and up
624,Live chat - free video chat,DATING,,1.0,8700000.0,500.0,Free,0.0,Mature 17+,Dating,2018-07-23,3.52,4.0.3 and up
626,Fishing Brain & Boating Maps Marine,DATING,,3.0,6900000.0,500.0,Free,0.0,Everyone,Dating,2018-07-23,1.0,4.0.3 and up
627,CAM5678 Video Chat,DATING,,0.0,39000000.0,500.0,Free,0.0,Mature 17+,Dating,2018-07-13,5.5.8,4.0.3 and up
628,Video chat live advices,DATING,,0.0,8000000.0,100.0,Free,0.0,Everyone,Dating,2018-07-10,1.0,3.0 and up
629,chat live chat,DATING,,24.0,3900000.0,1000.0,Free,0.0,Mature 17+,Dating,2018-07-26,1.0,4.0 and up
630,Pet Lovers Dating,DATING,,0.0,14000000.0,10.0,Free,0.0,Mature 17+,Dating,2018-07-09,1.0,4.1 and up
631,Friend Find: free chat + flirt dating app,DATING,,23.0,11000000.0,100.0,Free,0.0,Mature 17+,Dating,2018-07-31,1.0,4.4 and up
632,Latin Dating,DATING,,0.0,13000000.0,10.0,Free,0.0,Mature 17+,Dating,2018-07-09,1.0,4.1 and up
635,Wifi Mingle,DATING,,0.0,10000000.0,10.0,Free,0.0,Everyone,Dating,2018-07-27,1.3,4.4 and up
637,Soy Luna - Top Music And Lyrics,DATING,,1.0,5000000.0,100.0,Free,0.0,Teen,Dating,2018-07-24,1.0,4.0.3 and up
638,When Will You Get Married,DATING,,2.0,3600000.0,10.0,Free,0.0,Everyone,Dating,2018-07-14,1.0,4.0.3 and up
639,HOW TO ASK A GIRL OUT,DATING,,0.0,19000000.0,10.0,Free,0.0,Everyone,Dating,2018-07-16,1.0,4.0.3 and up
641,The DJ - Match with People,DATING,,0.0,9800000.0,50.0,Free,0.0,Mature 17+,Dating,2018-08-02,1.2,4.1 and up
642,Toronto Dating,DATING,,0.0,14000000.0,100.0,Free,0.0,Mature 17+,Dating,2018-07-12,1.0,4.1 and up
643,i miss you quotes and photos,DATING,,0.0,5000000.0,100.0,Free,0.0,Everyone,Dating,2018-07-22,1.0.7,4.0 and up
644,JoJo Siwa Top Hits Music,DATING,,0.0,4900000.0,10.0,Free,0.0,Teen,Dating,2018-07-26,1.0,4.0.3 and up
647,Chat Click - Dating Search,DATING,,4.0,3800000.0,500.0,Free,0.0,Mature 17+,Dating,2018-07-11,1.0,3.0 and up
648,Iraq love chat,DATING,,14.0,5000000.0,50.0,Free,0.0,Teen,Dating,2018-08-03,8.2,4.0.3 and up
649,Healthy Relationships Guide,DATING,,0.0,8199999.999999999,1.0,Free,0.0,Everyone,Dating,2018-07-31,2.0,4.0.3 and up
650,following,DATING,,1.0,21000000.0,10.0,Free,0.0,Mature 17+,Dating,2018-07-24,1.0.3,4.2 and up
651,Gods by Night,DATING,,104.0,12000000.0,1000.0,Free,0.0,Mature 17+,Dating,2018-07-22,3.5.4.2.3,4.1 and up
652,PlusOne,DATING,,0.0,10000000.0,1.0,Free,0.0,Mature 17+,Dating,2018-07-17,1.1.1,4.2 and up
653,Love Calendar - Couple Sharing Calendar & CoupleDay,DATING,,14.0,3300000.0,50.0,Free,0.0,Everyone,Dating,2018-07-30,1.6,4.1 and up
658,Soul Mate,DATING,,0.0,4400000.0,10.0,Free,0.0,Mature 17+,Dating,2018-07-19,4.5.0,4.0.3 and up
659,Diamond Engagement Rings,DATING,,0.0,3500000.0,5.0,Free,0.0,Everyone,Dating,2018-07-12,6.1,4.0 and up
660,Dating Tips For Men,DATING,,0.0,7800000.0,10.0,Free,0.0,Everyone,Dating,2018-07-09,3.0,4.0.3 and up
666,Random Video Chat,DATING,,3.0,16000000.0,1000.0,Free,0.0,Mature 17+,Dating,2018-07-15,4.20,4.0.3 and up
669,Find Lover,DATING,,21.0,4700000.0,1000.0,Free,0.0,Mature 17+,Dating,2018-07-27,1.0.2,4.0.3 and up
683,Random Video Chat App With Strangers,DATING,,3.0,4800000.0,1000.0,Free,0.0,Mature 17+,Dating,2018-07-17,1.,4.0 and up
698,"Chat Mexico: meet people, flirt and friendship",DATING,,8.0,9300000.0,5000.0,Free,0.0,Mature 17+,Dating,2018-07-02,3.7,4.0.3 and up
704,Ai La Trieu Phu - ALTP Free,EDUCATION,,776.0,24000000.0,100000.0,Free,0.0,Everyone,Education,2018-07-23,1.5,4.0 and up
1013,VAN NIAN 2018 - Vietnamese Calendar,EVENTS,,37.0,16000000.0,10000.0,Free,0.0,Everyone,Events,2017-11-27,1.0,4.0 and up
1024,Sarajevo Film Festival - Official,EVENTS,,6.0,9700000.0,100.0,Free,0.0,Everyone 10+,Events,2018-07-31,2.0.1,4.4W and up
1025,Summer Madness,EVENTS,,4.0,1400000.0,100.0,Free,0.0,Everyone,Events,2018-07-26,1.107,4.0 and up
1032,AAS-IN-ASIA 2018,EVENTS,,3.0,11000000.0,100.0,Free,0.0,Everyone,Events,2018-07-04,1.1.9,4.1 and up
1033,Moot Peru 2018,EVENTS,,13.0,27000000.0,1000.0,Free,0.0,Everyone,Events,2018-06-28,1.0,3.0 and up
1034,FM News,EVENTS,,46.0,3600000.0,5000.0,Free,0.0,Everyone,Events,2018-07-04,1.4,4.2 and up
1039,Rockmaraton Info,EVENTS,,49.0,13000000.0,1000.0,Free,0.0,Everyone,Events,2018-07-08,18.4,4.4 and up
1041,mobLee Events,EVENTS,,11.0,11000000.0,5000.0,Free,0.0,Everyone,Events,2018-05-30,3.05.30.16,4.1 and up
1043,AMM Events & CPD,EVENTS,,5.0,6100000.0,100.0,Free,0.0,Everyone,Events,2018-08-04,1.0.5,4.3 and up
1045,MeAuDote - An act of love that saves a life,EVENTS,,250.0,23000000.0,1000.0,Free,0.0,Everyone,Events,2018-06-22,1.0.11,4.1 and up
1046,TCF National Conference,EVENTS,,1.0,34000000.0,100.0,Free,0.0,Everyone,Events,2018-07-11,1.0,4.1 and up
1177,Easy and Fast Recipes,FOOD_AND_DRINK,,95.0,12000000.0,50000.0,Free,0.0,Everyone,Food & Drink,2018-01-06,3.0.1,2.3 and up
1180,Sumine side dish - dish recipe side dish,FOOD_AND_DRINK,,82.0,4900000.0,10000.0,Free,0.0,Everyone,Food & Drink,2018-06-23,1.1,4.1 and up
1455,Latest 2018 Home Designs,HOUSE_AND_HOME,,174.0,8700000.0,10000.0,Free,0.0,Everyone,House & Home,2018-07-26,1.1,2.3 and up
1469,Yes319 real price login query,HOUSE_AND_HOME,,12.0,5100000.0,5000.0,Free,0.0,Everyone,House & Home,2018-07-12,1.04,4.0.3 and up
1478,LH Housing Promotion Notice,HOUSE_AND_HOME,,160.0,3100000.0,100000.0,Free,0.0,Everyone,House & Home,2017-09-19,1.2.0,4.0 and up
1484,Home tips and advice,HOUSE_AND_HOME,,10.0,2600000.0,5000.0,Free,0.0,Everyone,House & Home,2017-12-28,2.0,4.0.3 and up
1489,Real estate court auction information site - Hyundai court auction,HOUSE_AND_HOME,,10.0,4200000.0,10000.0,Free,0.0,Everyone,House & Home,2018-08-02,1.2,4.3 and up
1517,Lamp detector,LIBRARIES_AND_DEMO,,5.0,1800000.0,1000.0,Free,0.0,Everyone,Libraries & Demo,2018-04-23,4.4.2,2.3.3 and up
1519,General culture,LIBRARIES_AND_DEMO,,26.0,10000000.0,10000.0,Free,0.0,Everyone,Libraries & Demo,2018-02-20,1.2,4.0 and up
1520,Luffs,LIBRARIES_AND_DEMO,,487.0,3700000.0,100000.0,Free,0.0,Everyone,Libraries & Demo,2018-01-16,1.0,4.0.3 and up
1530,Words (188 Category),LIBRARIES_AND_DEMO,,54.0,5900000.0,10000.0,Free,0.0,Everyone,Libraries & Demo,2018-07-04,1.0,4.0.3 and up
1534,Cold Spirits,LIBRARIES_AND_DEMO,,363.0,2500000.0,100000.0,Free,0.0,Everyone,Libraries & Demo,2017-01-02,1.2,2.3 and up
1536,How to sew & make the easiest pattern,LIBRARIES_AND_DEMO,,110.0,10000000.0,10000.0,Free,0.0,Everyone,Libraries & Demo,2017-11-05,1.0,4.0 and up
1537,I will return his eggs,LIBRARIES_AND_DEMO,,91.0,18000000.0,100000.0,Free,0.0,Everyone,Libraries & Demo,2017-11-16,6.0,2.3 and up
1539,Benefits of olive oil with garlic,LIBRARIES_AND_DEMO,,25.0,2500000.0,10000.0,Free,0.0,Everyone,Libraries & Demo,2018-06-23,1.0,4.0.3 and up
1540,Sad hair without net,LIBRARIES_AND_DEMO,,20.0,2100000.0,5000.0,Free,0.0,Everyone,Libraries & Demo,2018-03-26,1.0,2.3 and up
1552,Patience Words,LIBRARIES_AND_DEMO,,31.0,3400000.0,10000.0,Free,0.0,Everyone,Libraries & Demo,2017-12-14,1.0,4.0.3 and up
1553,Market Update Helper,LIBRARIES_AND_DEMO,4.1,20145.0,11000.0,1000000.0,Free,0.0,Everyone,Libraries & Demo,2013-02-12,,1.5 and up
1557,Mama Lala 's song,LIBRARIES_AND_DEMO,,102.0,21000000.0,50000.0,Free,0.0,Everyone,Libraries & Demo,2018-07-01,6.0.0,2.3 and up
1559,Young Speeches,LIBRARIES_AND_DEMO,,2221.0,2400000.0,500000.0,Free,0.0,Everyone,Libraries & Demo,2017-01-08,1.1,2.3 and up
2111,Mcqueen Coloring pages,FAMILY,,65.0,7000000.0,100000.0,Free,0.0,Everyone,Art & Design;Action & Adventure,2018-03-07,1.0.0,4.1 and up
